code,name,market,主力控盘日期,控盘程度,main_cost_value
000930,,000930.sz,NA,,NA
000931,,000931.sz,NA,,NA
000932,,000932.sz,NA,,NA
000933,,000933.sz,NA,,NA
000935,,000935.sz,NA,,NA
000936,,000936.sz,NA,,NA
000937,,000937.sz,NA,,NA
000938,,000938.sz,NA,,NA
000939,,000939.sz,NA,,NA
000948,,000948.sz,NA,,NA
000949,,000949.sz,NA,,NA
000950,,000950.sz,NA,,NA
000951,,000951.sz,NA,,NA
000952,,000952.sz,NA,,NA
000953,,000953.sz,NA,,NA
000955,,000955.sz,NA,,NA
000957,,000957.sz,NA,,NA
000958,,000958.sz,NA,,NA
000959,,000959.sz,NA,,NA
000960,,000960.sz,NA,,NA
000961,,000961.sz,NA,,NA
000962,,000962.sz,NA,,NA
000963,,000963.sz,NA,,NA
000965,,000965.sz,NA,,NA
000966,,000966.sz,NA,,NA
000968,,000968.sz,NA,,NA
000969,,000969.sz,NA,,NA
000970,,000970.sz,NA,,NA
000971,,000971.sz,NA,,NA
000972,,000972.sz,NA,,NA
000973,,000973.sz,NA,,NA
000975,,000975.sz,NA,,NA
000976,,000976.sz,NA,,NA
000978,,000978.sz,NA,,NA
000979,,000979.sz,NA,,NA
000980,,000980.sz,NA,,NA
000981,,000981.sz,NA,,NA
000983,,000983.sz,NA,,NA
000985,,000985.sz,NA,,NA
000987,,000987.sz,NA,,NA
000988,,000988.sz,NA,,NA
000989,,000989.sz,NA,,NA
000990,,000990.sz,NA,,NA
000993,,000993.sz,NA,,NA
000995,,000995.sz,NA,,NA
000996,,000996.sz,NA,,NA
000997,,000997.sz,NA,,NA
000998,,000998.sz,NA,,NA
000999,,000999.sz,NA,,NA
001696,,001696.sz,NA,,NA
001896,,001896.sz,NA,,NA
002001,,002001.sz,NA,,NA
002002,,002002.sz,NA,,NA
002003,,002003.sz,NA,,NA
002004,,002004.sz,NA,,NA
002005,,002005.sz,NA,,NA
002007,,002007.sz,NA,,NA
002008,,002008.sz,NA,,NA
002009,,002009.sz,NA,,NA
002010,,002010.sz,NA,,NA
002011,,002011.sz,NA,,NA
002012,,002012.sz,NA,,NA
002013,,002013.sz,NA,,NA
002014,,002014.sz,NA,,NA
002016,,002016.sz,NA,,NA
002017,,002017.sz,NA,,NA
002018,,002018.sz,NA,,NA
002019,,002019.sz,NA,,NA
002020,,002020.sz,NA,,NA
002022,,002022.sz,NA,,NA
002023,,002023.sz,NA,,NA
002024,,002024.sz,NA,,NA
002025,,002025.sz,NA,,NA
002026,,002026.sz,NA,,NA
002027,,002027.sz,NA,,NA
002028,,002028.sz,NA,,NA
002029,,002029.sz,NA,,NA
002030,,002030.sz,NA,,NA
002031,,002031.sz,NA,,NA
002032,,002032.sz,NA,,NA
002033,,002033.sz,NA,,NA
002034,,002034.sz,NA,,NA
002035,,002035.sz,NA,,NA
002036,,002036.sz,NA,,NA
002037,,002037.sz,NA,,NA
002038,,002038.sz,NA,,NA
002039,,002039.sz,NA,,NA
002040,,002040.sz,NA,,NA
002041,,002041.sz,NA,,NA
002042,,002042.sz,NA,,NA
002043,,002043.sz,NA,,NA
002044,,002044.sz,NA,,NA
002045,,002045.sz,NA,,NA
002046,,002046.sz,NA,,NA
002047,,002047.sz,NA,,NA
002048,,002048.sz,NA,,NA
002049,,002049.sz,NA,,NA
002050,,002050.sz,NA,,NA
002051,,002051.sz,NA,,NA
002052,,002052.sz,NA,,NA
002053,,002053.sz,NA,,NA
002054,,002054.sz,NA,,NA
002055,,002055.sz,NA,,NA
002056,,002056.sz,NA,,NA
002057,,002057.sz,NA,,NA
002058,,002058.sz,NA,,NA
002059,,002059.sz,NA,,NA
002060,,002060.sz,NA,,NA
002061,,002061.sz,NA,,NA
002062,,002062.sz,NA,,NA
002063,,002063.sz,NA,,NA
002064,,002064.sz,NA,,NA
002065,,002065.sz,NA,,NA
002066,,002066.sz,NA,,NA
002067,,002067.sz,NA,,NA
002068,,002068.sz,NA,,NA
002069,,002069.sz,NA,,NA
002071,,002071.sz,NA,,NA
002073,,002073.sz,NA,,NA
002074,,002074.sz,NA,,NA
002075,,002075.sz,NA,,NA
002076,,002076.sz,NA,,NA
002077,,002077.sz,NA,,NA
002078,,002078.sz,NA,,NA
002079,,002079.sz,NA,,NA
002080,,002080.sz,NA,,NA
002081,,002081.sz,NA,,NA
002082,,002082.sz,NA,,NA
002083,,002083.sz,NA,,NA
002084,,002084.sz,NA,,NA
002085,,002085.sz,NA,,NA
002086,,002086.sz,NA,,NA
002087,,002087.sz,NA,,NA
002088,,002088.sz,NA,,NA
002089,,002089.sz,NA,,NA
002090,,002090.sz,NA,,NA
002091,,002091.sz,NA,,NA
002092,,002092.sz,NA,,NA
002093,,002093.sz,NA,,NA
002094,,002094.sz,NA,,NA
002095,,002095.sz,NA,,NA
002096,,002096.sz,NA,,NA
002097,,002097.sz,NA,,NA
002098,,002098.sz,NA,,NA
002099,,002099.sz,NA,,NA
002100,,002100.sz,NA,,NA
002101,,002101.sz,NA,,NA
002102,,002102.sz,NA,,NA
002103,,002103.sz,NA,,NA
002104,,002104.sz,NA,,NA
002105,,002105.sz,NA,,NA
002106,,002106.sz,NA,,NA
002107,,002107.sz,NA,,NA
002108,,002108.sz,NA,,NA
002109,,002109.sz,NA,,NA
002110,,002110.sz,NA,,NA
002111,,002111.sz,NA,,NA
002112,,002112.sz,NA,,NA
002113,,002113.sz,NA,,NA
002114,,002114.sz,NA,,NA
002115,,002115.sz,NA,,NA
002116,,002116.sz,NA,,NA
002117,,002117.sz,NA,,NA
002118,,002118.sz,NA,,NA
002120,,002120.sz,NA,,NA
002121,,002121.sz,NA,,NA
002122,,002122.sz,NA,,NA
002124,,002124.sz,NA,,NA
002125,,002125.sz,NA,,NA
002126,,002126.sz,NA,,NA
002128,,002128.sz,NA,,NA
002129,,002129.sz,NA,,NA
002130,,002130.sz,NA,,NA
002131,,002131.sz,NA,,NA
002132,,002132.sz,NA,,NA
002133,,002133.sz,NA,,NA
002135,,002135.sz,NA,,NA
002136,,002136.sz,NA,,NA
002137,,002137.sz,NA,,NA
002138,,002138.sz,NA,,NA
002139,,002139.sz,NA,,NA
002140,,002140.sz,NA,,NA
002141,,002141.sz,NA,,NA
002142,,002142.sz,NA,,NA
002143,,002143.sz,NA,,NA
002144,,002144.sz,NA,,NA
002145,,002145.sz,NA,,NA
002146,,002146.sz,NA,,NA
002147,,002147.sz,NA,,NA
002148,,002148.sz,NA,,NA
002149,,002149.sz,NA,,NA
002150,,002150.sz,NA,,NA
002151,,002151.sz,NA,,NA
002153,,002153.sz,NA,,NA
002154,,002154.sz,NA,,NA
002155,,002155.sz,NA,,NA
002156,,002156.sz,NA,,NA
002157,,002157.sz,NA,,NA
002158,,002158.sz,NA,,NA
002159,,002159.sz,NA,,NA
002161,,002161.sz,NA,,NA
002162,,002162.sz,NA,,NA
002165,,002165.sz,NA,,NA
002166,,002166.sz,NA,,NA
002167,,002167.sz,NA,,NA
002169,,002169.sz,NA,,NA
002170,,002170.sz,NA,,NA
002171,,002171.sz,NA,,NA
002172,,002172.sz,NA,,NA
002173,,002173.sz,NA,,NA
002174,,002174.sz,NA,,NA
002175,,002175.sz,NA,,NA
002176,,002176.sz,NA,,NA
002177,,002177.sz,NA,,NA
002178,,002178.sz,NA,,NA
002179,,002179.sz,NA,,NA
002181,,002181.sz,NA,,NA
002182,,002182.sz,NA,,NA
002183,,002183.sz,NA,,NA
002184,,002184.sz,NA,,NA
002185,,002185.sz,NA,,NA
002186,,002186.sz,NA,,NA
002187,,002187.sz,NA,,NA
002188,,002188.sz,NA,,NA
002189,,002189.sz,NA,,NA
002190,,002190.sz,NA,,NA
002191,,002191.sz,NA,,NA
002192,,002192.sz,NA,,NA
002193,,002193.sz,NA,,NA
002194,,002194.sz,NA,,NA
002195,,002195.sz,NA,,NA
002196,,002196.sz,NA,,NA
002197,,002197.sz,NA,,NA
002198,,002198.sz,NA,,NA
002199,,002199.sz,NA,,NA
002200,,002200.sz,NA,,NA
002201,,002201.sz,NA,,NA
002202,,002202.sz,NA,,NA
002203,,002203.sz,NA,,NA
002204,,002204.sz,NA,,NA
002205,,002205.sz,NA,,NA
002206,,002206.sz,NA,,NA
002207,,002207.sz,NA,,NA
002208,,002208.sz,NA,,NA
002209,,002209.sz,NA,,NA
002210,,002210.sz,NA,,NA
002211,,002211.sz,NA,,NA
002212,,002212.sz,NA,,NA
002213,,002213.sz,NA,,NA
002214,,002214.sz,NA,,NA
002215,,002215.sz,NA,,NA
002216,,002216.sz,NA,,NA
002218,,002218.sz,NA,,NA
002219,,002219.sz,NA,,NA
002220,,002220.sz,NA,,NA
